TIMESTAMP;BALLAST;ANGULAR;LINEAR;
16/02/2025 23:13:56.98;0;0;0;
16/02/2025 23:15:14.700;0;1;0;
16/02/2025 23:15:15.980;0;0;0;
16/02/2025 23:15:34.711;0;0;1;
16/02/2025 23:15:35.970;0;0;0;
16/02/2025 23:16:54.770;0;1;0;
16/02/2025 23:16:56.92;0;0;0;
16/02/2025 23:17:34.763;0;1;0;
16/02/2025 23:17:36.52;0;0;0;
16/02/2025 23:19:14.815;0;1;0;
16/02/2025 23:19:16.85;0;0;0;
16/02/2025 23:20:54.867;0;1;0;
16/02/2025 23:20:56.97;0;0;0;
16/02/2025 23:21:54.899;0;1;0;
16/02/2025 23:21:56.298;0;0;0;
16/02/2025 23:22:15.2;0;1;0;
16/02/2025 23:22:16.348;0;0;0;
16/02/2025 23:23:14.940;0;1;0;
16/02/2025 23:23:16.250;0;0;0;
16/02/2025 23:23:54.951;0;1;0;
16/02/2025 23:23:56.240;0;0;0;
16/02/2025 23:24:14.952;0;1;0;
16/02/2025 23:24:16.331;0;0;0;
16/02/2025 23:25:17.287;0;1;0;
16/02/2025 23:25:18.524;0;0;0;
16/02/2025 23:26:15.14;0;1;0;
16/02/2025 23:26:16.373;0;0;0;
16/02/2025 23:26:35.24;0;1;0;
16/02/2025 23:26:36.384;0;0;0;
16/02/2025 23:27:15.45;0;1;0;
16/02/2025 23:27:16.344;0;0;0;
16/02/2025 23:31:15.170;0;1;0;
16/02/2025 23:31:16.339;0;0;0;
16/02/2025 23:32:15.181;0;1;0;
16/02/2025 23:32:16.441;0;0;0;
16/02/2025 23:34:35.254;0;1;0;
16/02/2025 23:34:36.493;0;0;0;
16/02/2025 23:35:15.275;0;1;0;
16/02/2025 23:35:16.574;0;0;0;
16/02/2025 23:36:15.316;0;1;0;
16/02/2025 23:36:16.646;0;0;0;
16/02/2025 23:37:55.358;0;1;0;
16/02/2025 23:37:56.638;0;0;0;
16/02/2025 23:38:15.369;0;1;0;
16/02/2025 23:38:16.538;0;0;0;
16/02/2025 23:39:15.802;0;1;0;
16/02/2025 23:39:17.150;0;0;0;
16/02/2025 23:39:55.411;0;1;0;
16/02/2025 23:39:56.780;0;0;0;
16/02/2025 23:40:15.411;0;0;1;
16/02/2025 23:40:16.700;0;0;0;
16/02/2025 23:40:55.432;0;1;0;
16/02/2025 23:40:56.811;0;0;0;
16/02/2025 23:41:55.591;0;1;0;
16/02/2025 23:41:56.943;0;0;0;
16/02/2025 23:42:55.494;0;1;0;
16/02/2025 23:42:56.674;0;0;0;
16/02/2025 23:43:15.505;0;1;0;
16/02/2025 23:43:16.654;0;0;0;
16/02/2025 23:47:15.630;0;1;0;
16/02/2025 23:47:16.939;0;0;0;
16/02/2025 23:52:55.868;0;1;0;
16/02/2025 23:52:57.136;0;0;0;
17/02/2025 00:02:56.98;0;1;0;
17/02/2025 00:02:57.448;0;0;0;
17/02/2025 00:03:56.177;0;0;1;
17/02/2025 00:03:57.519;0;0;0;
17/02/2025 00:08:36.255;0;0;1;
17/02/2025 00:08:37.734;0;0;0;
17/02/2025 00:08:56.265;0;0;1;
17/02/2025 00:08:57.564;0;0;0;
17/02/2025 00:09:16.285;0;0;1;
17/02/2025 00:09:17.555;0;0;0;
17/02/2025 00:09:56.296;0;1;0;
17/02/2025 00:09:57.716;0;0;0;
17/02/2025 00:10:56.327;0;1;0;
17/02/2025 00:10:57.527;0;0;0;
17/02/2025 00:12:36.279;0;1;0;
17/02/2025 00:12:37.649;0;0;0;
17/02/2025 00:12:56.390;0;1;0;
17/02/2025 00:12:57.729;0;0;0;
17/02/2025 00:14:36.431;0;1;0;
17/02/2025 00:14:37.751;0;0;0;
17/02/2025 00:14:56.462;0;1;0;
17/02/2025 00:14:57.811;0;0;0;
17/02/2025 00:16:56.504;0;1;0;
17/02/2025 00:16:57.924;0;0;0;
17/02/2025 00:17:16.515;0;1;1;
17/02/2025 00:17:17.874;0;0;0;
17/02/2025 00:17:36.525;0;1;0;
17/02/2025 00:17:37.854;0;0;0;
17/02/2025 00:17:56.954;0;1;0;
17/02/2025 00:17:59.296;0;0;0;
17/02/2025 00:18:16.546;0;1;1;
17/02/2025 00:18:21.308;0;0;0;
17/02/2025 00:18:36.556;0;0;1;
17/02/2025 00:18:38.216;0;0;0;
17/02/2025 00:18:56.566;0;0;1;
17/02/2025 00:18:57.806;0;0;0;
17/02/2025 00:19:16.577;0;0;1;
17/02/2025 00:19:17.866;0;0;0;
17/02/2025 00:25:16.753;0;1;0;
17/02/2025 00:25:18.133;0;0;0;
17/02/2025 00:25:36.764;0;1;0;
17/02/2025 00:25:38.143;0;0;0;
17/02/2025 00:25:56.774;0;1;0;
17/02/2025 00:25:58.234;0;0;0;
17/02/2025 00:26:16.965;0;1;0;
17/02/2025 00:26:18.444;0;0;0;
17/02/2025 00:26:36.795;0;1;0;
17/02/2025 00:26:38.545;0;0;0;
17/02/2025 00:26:56.805;0;1;1;
17/02/2025 00:26:58.465;0;0;0;
17/02/2025 00:27:16.816;0;1;0;
17/02/2025 00:27:18.595;0;0;0;
17/02/2025 00:27:36.826;0;1;1;
17/02/2025 00:27:38.426;0;0;0;
17/02/2025 00:27:56.836;0;1;1;
17/02/2025 00:27:58.696;0;0;0;
17/02/2025 00:28:16.847;0;1;0;
17/02/2025 00:28:18.496;0;0;0;
17/02/2025 00:28:36.857;0;1;1;
17/02/2025 00:28:38.327;0;0;0;
17/02/2025 00:29:16.888;0;1;0;
17/02/2025 00:29:18.177;0;0;0;
17/02/2025 00:29:36.908;0;1;0;
17/02/2025 00:29:38.328;0;0;0;
17/02/2025 00:29:56.898;0;1;0;
17/02/2025 00:29:58.568;0;0;0;
